Genus,Species,Common Name 1,Common Name 2,Family,Clade,Size,Canopy,Global_ Distribution,Locality,Abundance,Climatic_Domain,Climatic _Zone,General_Description,Images_Folder
Abies,alba,European silver fir,silver fir,Pinaceae,Gymnosperm,large,evergreen,Europe,mountains,not restricted,temperate,intermediate,The largest fir in Europe.  Occurs in the mountains at 300 -2000m in southern Europe.,Abies alba
Abies,balsamea,balsam fir,,Pinaceae,Gymnosperm,"small, medium",evergreen,North America,"wetlands, closed forest",not restricted,"temperate, boreal","wet, intermediate",Occurs north-east USA and eastern Canada. Cold hardy.  Christmas tree species. Endangered in its natural habitat but well established elsewhere.,Abies balsamea
Abies,cephalonica,Greek fir,,Pinaceae,Gymnosperm,medium,evergreen,Europe,mountains, restricted,temperate,intermediate,Native to the mountains of Greece and Albania.  Used for wood in the past but now too rare.,Abies cephalonica
Abies,cilicica,Cilician fir ,Taurus fir,Pinaceae,Gymnosperm,medium,evergreen,Asia,"closed forest, mountains",rare/endangered,temperate,intermediate,"Native to Turkey, Syria and Lebanon.  Population decreasing. Mediterranes climate.  Founds in Taurus Mountains.",Abies cilicica
Abies,durangensis,durango fir,ocote,Pinaceae,Gymnosperm,large,evergreen,Central America,"closed forest, mountains",restricted,temperate,intermediate,Native to Mexico,Abies durangensis
Abies,fabri,Faber's fir,,Pinaceae,Gymnosperm,large,evergreen,Asia,mountains,rare.endangered,temperate,"wet, intermediate","Sichuan province, China. Cool and wet in the mountains.",Abies fabri
Abies,forrestii,Forrest's fir,,Pinaceae,Gymnosperm,,,,,,,,,Abies forrestii
Abies,homolepis,Nikko fir,,Pinaceae,Gymnosperm,,,,,,,,,Abies homolepis
Abies,lasiocarpa,subalpine fir,,Pinaceae,Gymnosperm,medium,evergreen,North America,"mountains, closed forest",not restricted,"temperate, boreal",intermediate,Alpine ares of Canada and NW USA. Can occur at treeline. Medicinal to native Americans,Abies lasiocarpa
Abies,procera,noble fir,red fir,Pinaceae,Gymnosperm,tall,evergreen,North America,"mountains, closed forest",not restricted,temperate,"wet, intermediate",Mid elevations (300 - 1500m) on Cascades and Pacific coast ranges of USA.  Apioneer species.  Christmas tree species,Abies procera
Abutilon,julianae,Norfolk Island Abutilon,,Malvceae,Angiosperm,small,evergreen,Islands,closed forest,rare/endangered,subtropical,intermediate,Norfolk Island and critically endangered,Abutilon julianae
Acacia,aneura,mulga,,Fabaceae,Angiosperm,small,"evergreen, shrub",Australia,open forest,not restricted,"subtropical, temperate",dry,Much of dry inland Australia. Fodder source. Has phyllodes rather than normal leaves. Longer living than most Acacias,Acacia aneura
Acacia,aulacocarpa,salwood,golden-flowered salwood,Fabaceae,Angiosperm,,,,,,,,,Acacia aulacocarpa
